id	GSM335197_Control	GSM335198_Control	GSM335199_Control	GSM335185_Treat	GSM335186_Treat	GSM335187_Treat	GSM335188_Treat	GSM335189_Treat
ADAM12	3.84042898433489	3.3569988731433	3.95065294475615	3.87002766941913	4.06873696030741	3.97723265436869	4.56382991334678	4.3262491076196
ADAM15	4.0707124757245	4.03078817672458	3.26171407138512	2.25437139913035	3.38480935130395	2.17473023600832	4.23633656253132	3.78986234953397
ADAM17	6.07681486284199	5.84362409955851	5.68613976111438	6.47214285909444	6.72322444655142	6.28446055728061	6.1827404937714	6.71495168473958
ADAM18	3.70158097404823	3.04984673207058	4.55366284083151	2.22738024734678	3.64320174918984	3.3906053654909	2.60350817828911	4.86055648513028
ADAM19	4.83302843303537	5.07935518100652	5.20023955794936	4.89061315470669	5.20524761977266	4.90319413527656	5.68467450668494	5.24685289590951
ADAM2	3.74770865890166	1.27551820605303	2.47934175042758	2.38317339969481	3.44673859785734	2.45924280648812	1.54560891114722	1.50525825697015
ADAM20	3.18723412309138	4.20294213897856	4.36856078873334	3.67674677772803	3.19204017870142	4.32855017495277	3.59686793319505	3.79388087081817
ADAM21	4.83793081693338	4.81420064077569	4.67787061663162	4.33244757296528	4.74522184212941	5.22071751805646	4.51752638088563	4.89544876110256
ADAM22	5.03068081209206	5.11546600852207	4.98829156072803	5.10410671872475	4.03662043288625	4.27692245648881	4.518666746859	4.29020474579198
ADAM23	5.24546555523502	5.57693199976079	5.57397938554537	5.70101065783181	5.06845468366346	5.10078632207957	5.61321356165253	5.77503197904896
ADAM28	5.48576522070407	5.3876964566307	5.75053705275329	3.84210863042555	4.98072200814292	5.2512310260454	4.64746859391324	5.22030112760153
ADAM30	4.6401970187855	2.13229517302486	2.31261069307765	3.92792148785105	3.85659510340096	3.87595864851381	4.8886595930919	4.39630279640092
ADAM3A	3.82849720224238	3.09127307456359	3.29875602581135	2.56604027753925	2.23346890122074	1.99683894319265	2.0486793484558	3.96556462617141
